km_marco_m,de,ate,ndvi_antes,ndvi_depois,queda
12000,2023-02-20,2023-03-02,0.6548,0.4979,0.1569
12000,2023-04-21,2023-05-01,0.623,0.4071,0.2159
12000,2024-10-12,2024-10-17,0.4861,0.3186,0.1675
12000,2025-05-05,2025-05-15,0.679,0.447,0.232
12500,2019-04-02,2019-04-12,0.6749,0.5214,0.1535
12500,2020-10-13,2020-10-18,0.4616,0.2592,0.2024
12500,2021-09-03,2021-09-08,0.4749,0.311,0.1639
12500,2021-11-27,2021-12-02,0.5934,0.3295,0.2639
12500,2023-05-21,2023-05-26,0.6397,0.4128,0.2269
12500,2023-07-05,2023-07-15,0.4986,0.3338,0.1648
12500,2024-04-10,2024-04-20,0.6463,0.4904,0.1559
12500,2024-05-05,2024-05-10,0.6436,0.4444,0.1992
12500,2024-10-12,2024-10-22,0.5337,0.2754,0.2583
12500,2025-03-21,2025-03-31,0.5408,0.3033,0.2375
13000,2023-05-16,2023-05-21,0.5171,0.3262,0.1909
13000,2025-02-09,2025-02-14,0.5109,0.3546,0.1563
13000,2025-03-21,2025-03-31,0.5064,0.2598,0.2466
13000,2025-06-29,2025-07-09,0.4502,0.1818,0.2684
13500,2019-04-12,2019-04-22,0.5875,0.3968,0.1907
13500,2020-03-22,2020-04-01,0.5965,0.3964,0.2001
13500,2021-11-27,2021-12-02,0.5524,0.3877,0.1647
13500,2024-07-14,2024-07-19,0.6112,0.4436,0.1676
13500,2025-03-21,2025-03-31,0.6069,0.2769,0.33
13500,2025-05-30,2025-06-04,0.58,0.4215,0.1585
13500,2025-06-29,2025-07-09,0.4766,0.2593,0.2173
13500,2026-07-29,2026-08-08,0.4664,0.3024,0.164
14000,2023-05-16,2023-05-21,0.486,0.33,0.156
14500,2021-03-07,2021-03-12,0.6059,0.2408,0.3651
15000,2023-05-21,2023-05-26,0.4712,0.3067,0.1645
17000,2019-04-02,2019-04-07,0.4731,0.2488,0.2243
17000,2020-03-17,2020-03-22,0.4705,0.2711,0.1994
