data_alvo,data_imagem,janela_dias,nuvem_media,usada
2026-03-13,2026-03-11,3,1.0,False
2026-03-13,2026-03-11,3,1.0,False
2026-03-13,2026-03-16,3,0.4068,True
2026-03-13,2026-03-16,3,0.2083,True
2026-03-20,2026-03-21,3,0.4235,True
2026-03-20,2026-03-21,3,0.225,True
2025-03-28,2025-03-26,3,1.0,False
2025-03-28,2025-03-26,3,0.9558,False
2025-03-28,2025-03-31,3,0.4536,True
2025-03-28,2025-03-31,3,0.4837,True
