data,km_marco_m,faixa,classe,arquivo
2026-03-13,21000,cant_marginal_externa,1,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,21500,cant_marginal_externa,1,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,22000,cant_marginal_externa,1,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,22500,cant_marginal_externa,1,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,23000,cant_marginal_externa,1,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,23500,cant_marginal_externa,1,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,24000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,24500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,25000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,25500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,26000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,26500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,27000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,27500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,28000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,28500,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,29000,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,29300,cant_marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,0,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,1000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,1500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,2000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,2500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,3000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,3500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,4000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,4500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,5000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,5500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,6000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,6500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,7000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,7500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,8000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,8500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,9000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,9500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,10000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,10500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,11000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,11500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,12000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,12500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,13000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,13500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,14000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,14500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,15000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,15500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,16000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,16500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,17000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,17500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,18000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,18500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,19000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,19500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,20000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,20500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,21000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,21500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,22000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,22500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,23000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,23500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,24000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,24500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,25000,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
2026-03-13,25500,marginal_externa,,RA-RET-ROÇ-LIMP-2026-03-13.xlsx
